year,start_of_year,today,years_difference
2007,2007-01-01,2025-07-19,18
2008,2008-01-01,2025-07-19,17
2009,2009-01-01,2025-07-19,16
2010,2010-01-01,2025-07-19,15
2011,2011-01-01,2025-07-19,14
2012,2012-01-01,2025-07-19,13
2013,2013-01-01,2025-07-19,12
2014,2014-01-01,2025-07-19,11
2015,2015-01-01,2025-07-19,10
2016,2016-01-01,2025-07-19,9
2017,2017-01-01,2025-07-19,8
2018,2018-01-01,2025-07-19,7
2019,2019-01-01,2025-07-19,6
2020,2020-01-01,2025-07-19,5
1980,1980-01-01,2025-07-19,45
1981,1981-01-01,2025-07-19,44
1982,1982-01-01,2025-07-19,43
1983,1983-01-01,2025-07-19,42
1984,1984-01-01,2025-07-19,41
1985,1985-01-01,2025-07-19,40
1986,1986-01-01,2025-07-19,39
1987,1987-01-01,2025-07-19,38
1988,1988-01-01,2025-07-19,37
1989,1989-01-01,2025-07-19,36
1990,1990-01-01,2025-07-19,35
1991,1991-01-01,2025-07-19,34
1992,1992-01-01,2025-07-19,33
1993,1993-01-01,2025-07-19,32
1994,1994-01-01,2025-07-19,31
1995,1995-01-01,2025-07-19,30
1996,1996-01-01,2025-07-19,29
1997,1997-01-01,2025-07-19,28
1998,1998-01-01,2025-07-19,27
1999,1999-01-01,2025-07-19,26
2000,2000-01-01,2025-07-19,25
2001,2001-01-01,2025-07-19,24
2002,2002-01-01,2025-07-19,23
2003,2003-01-01,2025-07-19,22
2004,2004-01-01,2025-07-19,21
2005,2005-01-01,2025-07-19,20
2006,2006-01-01,2025-07-19,19
2007,2007-01-01,2025-07-19,18
2008,2008-01-01,2025-07-19,17
2010,2010-01-01,2025-07-19,15
1980,1980-01-01,2025-07-19,45
1981,1981-01-01,2025-07-19,44
1982,1982-01-01,2025-07-19,43
1983,1983-01-01,2025-07-19,42
1984,1984-01-01,2025-07-19,41
1985,1985-01-01,2025-07-19,40
1986,1986-01-01,2025-07-19,39
1987,1987-01-01,2025-07-19,38
1988,1988-01-01,2025-07-19,37
1989,1989-01-01,2025-07-19,36
1990,1990-01-01,2025-07-19,35
1991,1991-01-01,2025-07-19,34
1992,1992-01-01,2025-07-19,33
1993,1993-01-01,2025-07-19,32
1994,1994-01-01,2025-07-19,31
1995,1995-01-01,2025-07-19,30
1996,1996-01-01,2025-07-19,29
1997,1997-01-01,2025-07-19,28
1998,1998-01-01,2025-07-19,27
1999,1999-01-01,2025-07-19,26
2000,2000-01-01,2025-07-19,25
2001,2001-01-01,2025-07-19,24
2002,2002-01-01,2025-07-19,23
2003,2003-01-01,2025-07-19,22
2004,2004-01-01,2025-07-19,21
2005,2005-01-01,2025-07-19,20
2006,2006-01-01,2025-07-19,19
2007,2007-01-01,2025-07-19,18
2008,2008-01-01,2025-07-19,17
2009,2009-01-01,2025-07-19,16
2010,2010-01-01,2025-07-19,15
2011,2011-01-01,2025-07-19,14
2012,2012-01-01,2025-07-19,13
2013,2013-01-01,2025-07-19,12
2014,2014-01-01,2025-07-19,11
2015,2015-01-01,2025-07-19,10
2016,2016-01-01,2025-07-19,9
2017,2017-01-01,2025-07-19,8
2018,2018-01-01,2025-07-19,7
2019,2019-01-01,2025-07-19,6
2020,2020-01-01,2025-07-19,5
1991,1991-01-01,2025-07-19,34
1992,1992-01-01,2025-07-19,33
1993,1993-01-01,2025-07-19,32
1994,1994-01-01,2025-07-19,31
1995,1995-01-01,2025-07-19,30
1996,1996-01-01,2025-07-19,29
1997,1997-01-01,2025-07-19,28
1998,1998-01-01,2025-07-19,27
1999,1999-01-01,2025-07-19,26
2000,2000-01-01,2025-07-19,25
2001,2001-01-01,2025-07-19,24
2002,2002-01-01,2025-07-19,23
2003,2003-01-01,2025-07-19,22
2004,2004-01-01,2025-07-19,21
2005,2005-01-01,2025-07-19,20
2006,2006-01-01,2025-07-19,19
2007,2007-01-01,2025-07-19,18
2008,2008-01-01,2025-07-19,17
2009,2009-01-01,2025-07-19,16
2010,2010-01-01,2025-07-19,15
2011,2011-01-01,2025-07-19,14
2012,2012-01-01,2025-07-19,13
2013,2013-01-01,2025-07-19,12
2014,2014-01-01,2025-07-19,11
2015,2015-01-01,2025-07-19,10
2016,2016-01-01,2025-07-19,9
2017,2017-01-01,2025-07-19,8
2018,2018-01-01,2025-07-19,7
2019,2019-01-01,2025-07-19,6
2020,2020-01-01,2025-07-19,5
1980,1980-01-01,2025-07-19,45
1981,1981-01-01,2025-07-19,44
1982,1982-01-01,2025-07-19,43
1983,1983-01-01,2025-07-19,42
1984,1984-01-01,2025-07-19,41
1985,1985-01-01,2025-07-19,40
1986,1986-01-01,2025-07-19,39
1987,1987-01-01,2025-07-19,38
1988,1988-01-01,2025-07-19,37
1989,1989-01-01,2025-07-19,36
1990,1990-01-01,2025-07-19,35
1991,1991-01-01,2025-07-19,34
1992,1992-01-01,2025-07-19,33
1993,1993-01-01,2025-07-19,32
1994,1994-01-01,2025-07-19,31
1995,1995-01-01,2025-07-19,30
1996,1996-01-01,2025-07-19,29
1997,1997-01-01,2025-07-19,28
1998,1998-01-01,2025-07-19,27
1999,1999-01-01,2025-07-19,26
2000,2000-01-01,2025-07-19,25
2001,2001-01-01,2025-07-19,24
2002,2002-01-01,2025-07-19,23
2003,2003-01-01,2025-07-19,22
2004,2004-01-01,2025-07-19,21
2005,2005-01-01,2025-07-19,20
2006,2006-01-01,2025-07-19,19
2007,2007-01-01,2025-07-19,18
2008,2008-01-01,2025-07-19,17
2009,2009-01-01,2025-07-19,16
2010,2010-01-01,2025-07-19,15
2011,2011-01-01,2025-07-19,14
2012,2012-01-01,2025-07-19,13
2013,2013-01-01,2025-07-19,12
2014,2014-01-01,2025-07-19,11
2015,2015-01-01,2025-07-19,10
2016,2016-01-01,2025-07-19,9
2017,2017-01-01,2025-07-19,8
2018,2018-01-01,2025-07-19,7
2019,2019-01-01,2025-07-19,6
2020,2020-01-01,2025-07-19,5
1980,1980-01-01,2025-07-19,45
1981,1981-01-01,2025-07-19,44
1982,1982-01-01,2025-07-19,43
1983,1983-01-01,2025-07-19,42
1984,1984-01-01,2025-07-19,41
1985,1985-01-01,2025-07-19,40
1986,1986-01-01,2025-07-19,39
1987,1987-01-01,2025-07-19,38
1988,1988-01-01,2025-07-19,37
1989,1989-01-01,2025-07-19,36
1990,1990-01-01,2025-07-19,35
1991,1991-01-01,2025-07-19,34
1992,1992-01-01,2025-07-19,33
1993,1993-01-01,2025-07-19,32
1994,1994-01-01,2025-07-19,31
1995,1995-01-01,2025-07-19,30
1996,1996-01-01,2025-07-19,29
1997,1997-01-01,2025-07-19,28
1998,1998-01-01,2025-07-19,27
1999,1999-01-01,2025-07-19,26
2000,2000-01-01,2025-07-19,25
2001,2001-01-01,2025-07-19,24
2002,2002-01-01,2025-07-19,23
2003,2003-01-01,2025-07-19,22
2004,2004-01-01,2025-07-19,21
2005,2005-01-01,2025-07-19,20
2006,2006-01-01,2025-07-19,19
2007,2007-01-01,2025-07-19,18
2008,2008-01-01,2025-07-19,17
2009,2009-01-01,2025-07-19,16
2010,2010-01-01,2025-07-19,15
2011,2011-01-01,2025-07-19,14
2012,2012-01-01,2025-07-19,13
2013,2013-01-01,2025-07-19,12
2014,2014-01-01,2025-07-19,11
2015,2015-01-01,2025-07-19,10
2016,2016-01-01,2025-07-19,9
2017,2017-01-01,2025-07-19,8
2018,2018-01-01,2025-07-19,7
2019,2019-01-01,2025-07-19,6
2020,2020-01-01,2025-07-19,5
1991,1991-01-01,2025-07-19,34
1992,1992-01-01,2025-07-19,33
1993,1993-01-01,2025-07-19,32
1994,1994-01-01,2025-07-19,31
1995,1995-01-01,2025-07-19,30
1996,1996-01-01,2025-07-19,29
1997,1997-01-01,2025-07-19,28
1998,1998-01-01,2025-07-19,27
1999,1999-01-01,2025-07-19,26
2000,2000-01-01,2025-07-19,25
2001,2001-01-01,2025-07-19,24
2002,2002-01-01,2025-07-19,23
2003,2003-01-01,2025-07-19,22
2004,2004-01-01,2025-07-19,21
2005,2005-01-01,2025-07-19,20
2006,2006-01-01,2025-07-19,19
2007,2007-01-01,2025-07-19,18
2008,2008-01-01,2025-07-19,17
2009,2009-01-01,2025-07-19,16
2010,2010-01-01,2025-07-19,15
2011,2011-01-01,2025-07-19,14
2012,2012-01-01,2025-07-19,13
2013,2013-01-01,2025-07-19,12
2014,2014-01-01,2025-07-19,11
2015,2015-01-01,2025-07-19,10
2016,2016-01-01,2025-07-19,9
2017,2017-01-01,2025-07-19,8
2018,2018-01-01,2025-07-19,7
2019,2019-01-01,2025-07-19,6
2020,2020-01-01,2025-07-19,5
1980,1980-01-01,2025-07-19,45
1981,1981-01-01,2025-07-19,44
1982,1982-01-01,2025-07-19,43
1983,1983-01-01,2025-07-19,42
1984,1984-01-01,2025-07-19,41
1985,1985-01-01,2025-07-19,40
1986,1986-01-01,2025-07-19,39
1987,1987-01-01,2025-07-19,38
1988,1988-01-01,2025-07-19,37
1989,1989-01-01,2025-07-19,36
1990,1990-01-01,2025-07-19,35
1991,1991-01-01,2025-07-19,34
1992,1992-01-01,2025-07-19,33
1993,1993-01-01,2025-07-19,32
1994,1994-01-01,2025-07-19,31
1995,1995-01-01,2025-07-19,30
1996,1996-01-01,2025-07-19,29
1997,1997-01-01,2025-07-19,28
1998,1998-01-01,2025-07-19,27
1999,1999-01-01,2025-07-19,26
2000,2000-01-01,2025-07-19,25
2001,2001-01-01,2025-07-19,24
2002,2002-01-01,2025-07-19,23
2003,2003-01-01,2025-07-19,22
2004,2004-01-01,2025-07-19,21
2005,2005-01-01,2025-07-19,20
2006,2006-01-01,2025-07-19,19
2007,2007-01-01,2025-07-19,18
2008,2008-01-01,2025-07-19,17
2010,2010-01-01,2025-07-19,15
1980,1980-01-01,2025-07-19,45
1981,1981-01-01,2025-07-19,44
1982,1982-01-01,2025-07-19,43
1983,1983-01-01,2025-07-19,42
1984,1984-01-01,2025-07-19,41
1985,1985-01-01,2025-07-19,40
1986,1986-01-01,2025-07-19,39
1987,1987-01-01,2025-07-19,38
1988,1988-01-01,2025-07-19,37
1989,1989-01-01,2025-07-19,36
1990,1990-01-01,2025-07-19,35
1991,1991-01-01,2025-07-19,34
1992,1992-01-01,2025-07-19,33
1993,1993-01-01,2025-07-19,32
1994,1994-01-01,2025-07-19,31
1995,1995-01-01,2025-07-19,30
1996,1996-01-01,2025-07-19,29
1997,1997-01-01,2025-07-19,28
1998,1998-01-01,2025-07-19,27
1999,1999-01-01,2025-07-19,26
2000,2000-01-01,2025-07-19,25
2001,2001-01-01,2025-07-19,24
2002,2002-01-01,2025-07-19,23
2003,2003-01-01,2025-07-19,22
2004,2004-01-01,2025-07-19,21
2005,2005-01-01,2025-07-19,20
2006,2006-01-01,2025-07-19,19
2007,2007-01-01,2025-07-19,18
2008,2008-01-01,2025-07-19,17
2009,2009-01-01,2025-07-19,16
2010,2010-01-01,2025-07-19,15
2011,2011-01-01,2025-07-19,14
2012,2012-01-01,2025-07-19,13
2013,2013-01-01,2025-07-19,12
2014,2014-01-01,2025-07-19,11
2015,2015-01-01,2025-07-19,10
2016,2016-01-01,2025-07-19,9
2017,2017-01-01,2025-07-19,8
2018,2018-01-01,2025-07-19,7
2019,2019-01-01,2025-07-19,6
2020,2020-01-01,2025-07-19,5
1980,1980-01-01,2025-07-19,45
1981,1981-01-01,2025-07-19,44
1982,1982-01-01,2025-07-19,43
1983,1983-01-01,2025-07-19,42
1984,1984-01-01,2025-07-19,41
1985,1985-01-01,2025-07-19,40
1986,1986-01-01,2025-07-19,39
1987,1987-01-01,2025-07-19,38
1988,1988-01-01,2025-07-19,37
1989,1989-01-01,2025-07-19,36
1990,1990-01-01,2025-07-19,35
1991,1991-01-01,2025-07-19,34
1992,1992-01-01,2025-07-19,33
1993,1993-01-01,2025-07-19,32
1994,1994-01-01,2025-07-19,31
1995,1995-01-01,2025-07-19,30
1996,1996-01-01,2025-07-19,29
1997,1997-01-01,2025-07-19,28
1998,1998-01-01,2025-07-19,27
1999,1999-01-01,2025-07-19,26
2000,2000-01-01,2025-07-19,25
2001,2001-01-01,2025-07-19,24
2002,2002-01-01,2025-07-19,23
2003,2003-01-01,2025-07-19,22
2004,2004-01-01,2025-07-19,21
2005,2005-01-01,2025-07-19,20
2006,2006-01-01,2025-07-19,19
2007,2007-01-01,2025-07-19,18
2008,2008-01-01,2025-07-19,17
2009,2009-01-01,2025-07-19,16
2010,2010-01-01,2025-07-19,15
2011,2011-01-01,2025-07-19,14
2012,2012-01-01,2025-07-19,13
2013,2013-01-01,2025-07-19,12
2014,2014-01-01,2025-07-19,11
2015,2015-01-01,2025-07-19,10
2016,2016-01-01,2025-07-19,9
2017,2017-01-01,2025-07-19,8
2018,2018-01-01,2025-07-19,7
2019,2019-01-01,2025-07-19,6
2020,2020-01-01,2025-07-19,5
1980,1980-01-01,2025-07-19,45
1981,1981-01-01,2025-07-19,44
1982,1982-01-01,2025-07-19,43
1983,1983-01-01,2025-07-19,42
1984,1984-01-01,2025-07-19,41
1985,1985-01-01,2025-07-19,40
1986,1986-01-01,2025-07-19,39
1987,1987-01-01,2025-07-19,38
1988,1988-01-01,2025-07-19,37
1989,1989-01-01,2025-07-19,36
1990,1990-01-01,2025-07-19,35
1991,1991-01-01,2025-07-19,34
1992,1992-01-01,2025-07-19,33
1993,1993-01-01,2025-07-19,32
1994,1994-01-01,2025-07-19,31
1995,1995-01-01,2025-07-19,30
1996,1996-01-01,2025-07-19,29
1997,1997-01-01,2025-07-19,28
1998,1998-01-01,2025-07-19,27
1999,1999-01-01,2025-07-19,26
2000,2000-01-01,2025-07-19,25
2001,2001-01-01,2025-07-19,24
2002,2002-01-01,2025-07-19,23
2003,2003-01-01,2025-07-19,22
2004,2004-01-01,2025-07-19,21
2005,2005-01-01,2025-07-19,20
2006,2006-01-01,2025-07-19,19
2007,2007-01-01,2025-07-19,18
2008,2008-01-01,2025-07-19,17
2010,2010-01-01,2025-07-19,15
1991,1991-01-01,2025-07-19,34
1992,1992-01-01,2025-07-19,33
1993,1993-01-01,2025-07-19,32
1994,1994-01-01,2025-07-19,31
1995,1995-01-01,2025-07-19,30
1996,1996-01-01,2025-07-19,29
1997,1997-01-01,2025-07-19,28
1998,1998-01-01,2025-07-19,27
1999,1999-01-01,2025-07-19,26
2000,2000-01-01,2025-07-19,25
2001,2001-01-01,2025-07-19,24
2002,2002-01-01,2025-07-19,23
2003,2003-01-01,2025-07-19,22
2004,2004-01-01,2025-07-19,21
2005,2005-01-01,2025-07-19,20
2006,2006-01-01,2025-07-19,19
2007,2007-01-01,2025-07-19,18
2008,2008-01-01,2025-07-19,17
2009,2009-01-01,2025-07-19,16
2010,2010-01-01,2025-07-19,15
2011,2011-01-01,2025-07-19,14
2012,2012-01-01,2025-07-19,13
2013,2013-01-01,2025-07-19,12
2014,2014-01-01,2025-07-19,11
2015,2015-01-01,2025-07-19,10
2016,2016-01-01,2025-07-19,9
2017,2017-01-01,2025-07-19,8
2018,2018-01-01,2025-07-19,7
2019,2019-01-01,2025-07-19,6
2020,2020-01-01,2025-07-19,5
1980,1980-01-01,2025-07-19,45
1981,1981-01-01,2025-07-19,44
1982,1982-01-01,2025-07-19,43
1983,1983-01-01,2025-07-19,42
1984,1984-01-01,2025-07-19,41
1985,1985-01-01,2025-07-19,40
1986,1986-01-01,2025-07-19,39
1987,1987-01-01,2025-07-19,38
1988,1988-01-01,2025-07-19,37
1989,1989-01-01,2025-07-19,36
1990,1990-01-01,2025-07-19,35
1991,1991-01-01,2025-07-19,34
1992,1992-01-01,2025-07-19,33
1993,1993-01-01,2025-07-19,32
1994,1994-01-01,2025-07-19,31
1995,1995-01-01,2025-07-19,30
1996,1996-01-01,2025-07-19,29
1997,1997-01-01,2025-07-19,28
1998,1998-01-01,2025-07-19,27
1999,1999-01-01,2025-07-19,26
2000,2000-01-01,2025-07-19,25
2001,2001-01-01,2025-07-19,24
2002,2002-01-01,2025-07-19,23
2003,2003-01-01,2025-07-19,22
2004,2004-01-01,2025-07-19,21
2005,2005-01-01,2025-07-19,20
2006,2006-01-01,2025-07-19,19
2007,2007-01-01,2025-07-19,18
2008,2008-01-01,2025-07-19,17
2009,2009-01-01,2025-07-19,16
2010,2010-01-01,2025-07-19,15
2011,2011-01-01,2025-07-19,14
2012,2012-01-01,2025-07-19,13
2013,2013-01-01,2025-07-19,12
2014,2014-01-01,2025-07-19,11
2015,2015-01-01,2025-07-19,10
2016,2016-01-01,2025-07-19,9
2017,2017-01-01,2025-07-19,8
2018,2018-01-01,2025-07-19,7
2019,2019-01-01,2025-07-19,6
2020,2020-01-01,2025-07-19,5
1980,1980-01-01,2025-07-19,45
1981,1981-01-01,2025-07-19,44
1982,1982-01-01,2025-07-19,43
1983,1983-01-01,2025-07-19,42
1984,1984-01-01,2025-07-19,41
1985,1985-01-01,2025-07-19,40
1986,1986-01-01,2025-07-19,39
1987,1987-01-01,2025-07-19,38
1988,1988-01-01,2025-07-19,37
1989,1989-01-01,2025-07-19,36
1990,1990-01-01,2025-07-19,35
1991,1991-01-01,2025-07-19,34
1992,1992-01-01,2025-07-19,33
1993,1993-01-01,2025-07-19,32
1994,1994-01-01,2025-07-19,31
1995,1995-01-01,2025-07-19,30
1996,1996-01-01,2025-07-19,29
1997,1997-01-01,2025-07-19,28
1998,1998-01-01,2025-07-19,27
1999,1999-01-01,2025-07-19,26
2000,2000-01-01,2025-07-19,25
2001,2001-01-01,2025-07-19,24
2002,2002-01-01,2025-07-19,23
2003,2003-01-01,2025-07-19,22
2004,2004-01-01,2025-07-19,21
2005,2005-01-01,2025-07-19,20
2006,2006-01-01,2025-07-19,19
2007,2007-01-01,2025-07-19,18
2008,2008-01-01,2025-07-19,17
2010,2010-01-01,2025-07-19,15
2010,2010-01-01,2025-07-19,15
2012,2012-01-01,2025-07-19,13
1980,1980-01-01,2025-07-19,45
1981,1981-01-01,2025-07-19,44
1982,1982-01-01,2025-07-19,43
1983,1983-01-01,2025-07-19,42
1984,1984-01-01,2025-07-19,41
1985,1985-01-01,2025-07-19,40
1986,1986-01-01,2025-07-19,39
1987,1987-01-01,2025-07-19,38
1988,1988-01-01,2025-07-19,37
1989,1989-01-01,2025-07-19,36
1990,1990-01-01,2025-07-19,35
1991,1991-01-01,2025-07-19,34
1992,1992-01-01,2025-07-19,33
1993,1993-01-01,2025-07-19,32
1994,1994-01-01,2025-07-19,31
1995,1995-01-01,2025-07-19,30
1996,1996-01-01,2025-07-19,29
1997,1997-01-01,2025-07-19,28
1998,1998-01-01,2025-07-19,27
1999,1999-01-01,2025-07-19,26
2000,2000-01-01,2025-07-19,25
2001,2001-01-01,2025-07-19,24
2002,2002-01-01,2025-07-19,23
2003,2003-01-01,2025-07-19,22
2004,2004-01-01,2025-07-19,21
2005,2005-01-01,2025-07-19,20
2006,2006-01-01,2025-07-19,19
2007,2007-01-01,2025-07-19,18
2008,2008-01-01,2025-07-19,17
2009,2009-01-01,2025-07-19,16
2011,2011-01-01,2025-07-19,14
2013,2013-01-01,2025-07-19,12
2014,2014-01-01,2025-07-19,11
2015,2015-01-01,2025-07-19,10
2016,2016-01-01,2025-07-19,9
2017,2017-01-01,2025-07-19,8
2018,2018-01-01,2025-07-19,7
2019,2019-01-01,2025-07-19,6
2020,2020-01-01,2025-07-19,5
1980,1980-01-01,2025-07-19,45
1981,1981-01-01,2025-07-19,44
1982,1982-01-01,2025-07-19,43
1984,1984-01-01,2025-07-19,41
1985,1985-01-01,2025-07-19,40
1986,1986-01-01,2025-07-19,39
1987,1987-01-01,2025-07-19,38
1988,1988-01-01,2025-07-19,37
1989,1989-01-01,2025-07-19,36
1990,1990-01-01,2025-07-19,35
1991,1991-01-01,2025-07-19,34
1992,1992-01-01,2025-07-19,33
1993,1993-01-01,2025-07-19,32
1994,1994-01-01,2025-07-19,31
1995,1995-01-01,2025-07-19,30
1997,1997-01-01,2025-07-19,28
1998,1998-01-01,2025-07-19,27
1999,1999-01-01,2025-07-19,26
2000,2000-01-01,2025-07-19,25
2001,2001-01-01,2025-07-19,24
2002,2002-01-01,2025-07-19,23
2003,2003-01-01,2025-07-19,22
2004,2004-01-01,2025-07-19,21
2005,2005-01-01,2025-07-19,20
2006,2006-01-01,2025-07-19,19
2007,2007-01-01,2025-07-19,18
2008,2008-01-01,2025-07-19,17
2009,2009-01-01,2025-07-19,16
2010,2010-01-01,2025-07-19,15
2011,2011-01-01,2025-07-19,14
2012,2012-01-01,2025-07-19,13
2013,2013-01-01,2025-07-19,12
2014,2014-01-01,2025-07-19,11
2015,2015-01-01,2025-07-19,10
2016,2016-01-01,2025-07-19,9
2017,2017-01-01,2025-07-19,8
2018,2018-01-01,2025-07-19,7
2019,2019-01-01,2025-07-19,6
2020,2020-01-01,2025-07-19,5
1980,1980-01-01,2025-07-19,45
1981,1981-01-01,2025-07-19,44
1982,1982-01-01,2025-07-19,43
1983,1983-01-01,2025-07-19,42
1984,1984-01-01,2025-07-19,41
1985,1985-01-01,2025-07-19,40
1986,1986-01-01,2025-07-19,39
1987,1987-01-01,2025-07-19,38
1988,1988-01-01,2025-07-19,37
1989,1989-01-01,2025-07-19,36
1990,1990-01-01,2025-07-19,35
1991,1991-01-01,2025-07-19,34
1992,1992-01-01,2025-07-19,33
1993,1993-01-01,2025-07-19,32
1994,1994-01-01,2025-07-19,31
1995,1995-01-01,2025-07-19,30
1996,1996-01-01,2025-07-19,29
1997,1997-01-01,2025-07-19,28
